Date,Open,High,Low,Close,Volume,Adjusted Close
2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,100210000.0,18096.269531
2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,89820000.0,18053.599609
2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,89390000.0,18004.160156
2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,118160000.0,17897.460938
2016-04-14,17912.25,17962.14,17885.44,17926.43,84510000.0,17926.43
2016-04-13,17741.66,17918.35,17741.66,17908.28,91710000.0,17908.28
2016-04-12,17571.34,17744.43,17553.57,17721.25,81020000.0,17721.25
2016-04-11,17586.48,17731.63,17555.9,17556.41,107100000.0,17556.41
2016-04-08,17555.39,17694.51,17528.16,17576.96,79990000.0,17576.96
2016-04-07,17687.28,17687.28,17484.23,17541.96,90120000.0,17541.96
2016-04-06,17605.45,17723.55,17542.54,17716.05,99410000.0,17716.05
2016-04-05,17718.03,17718.03,17579.56,17603.32,115230000.0,17603.32
2016-04-04,17799.39,17806.38,17710.67,17737.0,85230000.0,17737.0
2016-04-01,17661.74,17811.48,17568.02,17792.75,104890000.0,17792.75
2016-03-31,17716.05,17755.7,17669.72,17685.09,102600000.0,17685.09
2016-03-30,17652.36,17790.11,17652.36,17716.66,79330000.0,17716.66
2016-03-29,17512.58,17642.81,17434.27,17633.11,86160000.0,17633.11
2016-03-28,17526.08,17583.81,17493.03,17535.39,70460000.0,17535.39
2016-03-24,17485.33,17517.14,17399.01,17515.73,84100000.0,17515.73
2016-03-23,17588.81,17588.81,17486.27,17502.59,84240000.0,17502.59
2016-03-22,17602.71,17648.94,17540.42,17582.57,95450000.0,17582.57
2016-03-21,17589.7,17644.97,17551.28,17623.87,84410000.0,17623.87
2016-03-18,17481.49,17620.58,17481.49,17602.3,321230000.0,17602.3
2016-03-17,17321.38,17529.01,17297.65,17481.49,117990000.0,17481.49
2016-03-16,17249.34,17379.18,17204.07,17325.76,118710000.0,17325.76
2016-03-15,17217.15,17251.7,17120.35,17251.53,92830000.0,17251.53
2016-03-14,17207.49,17275.07,17161.16,17229.13,96350000.0,17229.13
2016-03-11,17014.99,17220.09,17014.99,17213.31,123420000.0,17213.31
2016-03-10,17006.05,17130.11,16821.86,16995.13,117570000.0,16995.13
2016-03-09,16969.17,17048.5,16947.94,17000.36,116690000.0,17000.36
2016-03-08,17050.67,17072.79,16921.51,16964.1,108380000.0,16964.1
2016-03-07,16991.29,17099.25,16940.48,17073.95,100290000.0,17073.95
2016-03-04,16945.0,17062.38,16898.84,17006.77,106910000.0,17006.77
2016-03-03,16896.17,16944.31,16820.73,16943.9,91110000.0,16943.9
2016-03-02,16851.17,16900.17,16766.32,16899.32,104470000.0,16899.32
2016-03-01,16545.67,16865.56,16545.67,16865.08,105050000.0,16865.08
2016-02-29,16634.15,16726.12,16510.4,16516.5,126220000.0,16516.5
2016-02-26,16712.7,16795.98,16623.91,16639.97,98480000.0,16639.97
2016-02-25,16504.38,16697.98,16458.42,16697.29,94120000.0,16697.29
2016-02-24,16418.84,16507.39,16165.86,16484.99,93620000.0,16484.99
2016-02-23,16610.39,16610.39,16403.53,16431.78,98170000.0,16431.78
2016-02-22,16417.13,16664.24,16417.13,16620.66,102240000.0,16620.66
2016-02-19,16410.96,16410.96,16278.0,16391.99,134340000.0,16391.99
2016-02-18,16483.76,16511.84,16390.43,16413.43,104950000.0,16413.43
2016-02-17,16217.98,16486.12,16217.98,16453.83,124080000.0,16453.83
2016-02-16,16012.39,16196.41,16012.39,16196.41,142030000.0,16196.41
2016-02-12,15691.62,15974.04,15691.62,15973.84,132550000.0,15973.84
2016-02-11,15897.82,15897.82,15503.01,15660.18,172070000.0,15660.18
2016-02-10,16035.61,16201.89,15899.91,15914.74,122290000.0,15914.74
