Date,Value
2015-05-11,1.5586
2015-05-08,1.5456
2015-05-07,1.5258
2015-05-06,1.5247
2015-05-05,1.5178
2015-05-04,1.512
2015-05-01,1.5159
2015-04-30,1.536
2015-04-29,1.5434
2015-04-28,1.5338
2015-04-27,1.523
2015-04-24,1.5165
2015-04-23,1.5064
2015-04-22,1.504
2015-04-21,1.49235
2015-04-20,1.4899
2015-04-17,1.4961
2015-04-16,1.4928
2015-04-15,1.48385
2015-04-14,1.4776
2015-04-13,1.4678
2015-04-10,1.46335
2015-04-09,1.4714
2015-04-08,1.4869
2015-04-07,1.4812
2015-04-06,1.48895
2015-04-03,1.4919
2015-04-01,1.4825
2015-03-31,1.48245
2015-03-30,1.4795
2015-03-27,1.4887
2015-03-26,1.4853
2015-03-25,1.4881
2015-03-24,1.4845
2015-03-23,1.4957
2015-03-20,1.4952
2015-03-19,1.47355
2015-03-18,1.5025
2015-03-17,1.47385
2015-03-16,1.4824
2015-03-13,1.4746
2015-03-12,1.4898
2015-03-11,1.4934
2015-03-10,1.5067
2015-03-09,1.5126
2015-03-06,1.50435
2015-03-05,1.52385
2015-03-04,1.5261
2015-03-03,1.5362
2015-03-02,1.5366
2015-02-27,1.5439
2015-02-26,1.541
2015-02-25,1.5523
2015-02-24,1.5457
2015-02-23,1.5456
2015-02-20,1.5394
2015-02-19,1.5412
2015-02-18,1.54425
2015-02-17,1.5353
2015-02-16,1.5364
2015-02-13,1.5397
2015-02-12,1.539
2015-02-11,1.5238
2015-02-10,1.52495
2015-02-09,1.52145
2015-02-06,1.5242
2015-02-05,1.53365
2015-02-04,1.5186
2015-02-03,1.51615
2015-02-02,1.5028
2015-01-30,1.5076
2015-01-29,1.5063
2015-01-28,1.5133
2015-01-27,1.5197
2015-01-26,1.5087
2015-01-23,1.4992
2015-01-22,1.4994
2015-01-21,1.5142
2015-01-20,1.5144
2015-01-19,1.51135
2015-01-16,1.5152
2015-01-15,1.51815
2015-01-14,1.5229
2015-01-13,1.51685
2015-01-12,1.51755
2015-01-09,1.5164
2015-01-08,1.5087
2015-01-07,1.51095
2015-01-06,1.5156
2015-01-05,1.5254
2015-01-02,1.53355
2015-01-01,1.55455
2014-12-31,1.55795
2014-12-30,1.5564
2014-12-29,1.5513
2014-12-26,1.5553
2014-12-25,1.5538
2014-12-23,1.5512
2014-12-22,1.55835
2014-12-19,1.563
2014-12-18,1.56725
2014-12-17,1.5568
2014-12-16,1.57445
2014-12-15,1.56345
2014-12-12,1.5717
2014-12-11,1.5722
2014-12-10,1.5715
2014-12-09,1.5667
2014-12-08,1.56465
2014-12-05,1.5578
2014-12-04,1.5675
2014-12-03,1.56865
2014-12-02,1.56395
2014-12-01,1.5736
2014-11-28,1.5641
