Date,Open,High,Low,Close,Volume,Adjusted Close
2016-04-20,17053.830078,17099.359375,16870.730469,16906.539062,139600.0,16906.539062
2016-04-19,16582.660156,16900.330078,16570.5,16874.439453,141300.0,16874.439453
2016-04-18,16521.25,16526.900391,16254.200195,16275.950195,0.0,16275.950195
2016-04-15,16720.390625,16928.669922,16720.390625,16848.029297,129300.0,16848.029297
2016-04-14,16629.830078,16911.050781,16602.169922,16911.050781,170100.0,16911.050781
2016-04-13,16142.709961,16405.589844,16132.230469,16381.219727,154000.0,16381.219727
2016-04-12,15719.240234,15963.030273,15693.610352,15928.790039,0.0,15928.790039
2016-04-11,15761.570312,15778.740234,15525.490234,15751.129883,126000.0,15751.129883
2016-04-08,15597.040039,16027.629883,15471.799805,15821.519531,171500.0,15821.519531
2016-04-07,15739.259766,15871.099609,15636.209961,15749.839844,141600.0,15749.839844
2016-04-06,15727.700195,15828.610352,15612.910156,15715.360352,146000.0,15715.360352
2016-04-05,16044.230469,16066.179688,15698.549805,15732.820312,153400.0,15732.820312
2016-04-04,16087.759766,16238.509766,16029.5,16123.269531,140500.0,16123.269531
2016-04-01,16719.560547,16719.560547,16113.009766,16164.160156,173000.0,16164.160156
2016-03-31,16997.140625,17033.650391,16758.669922,16758.669922,152800.0,16758.669922
2016-03-30,17078.029297,17078.029297,16875.910156,16878.960938,127300.0,16878.960938
2016-03-29,16985.279297,17137.199219,16948.429688,17103.529297,0.0,17103.529297
2016-03-28,17129.269531,17167.880859,16961.410156,17134.369141,119800.0,17134.369141
2016-03-25,16949.529297,17026.140625,16889.400391,17002.75,122700.0,17002.75
2016-03-24,16979.390625,17041.160156,16843.990234,16892.330078,137800.0,16892.330078
2016-03-23,17066.269531,17142.080078,16964.310547,17000.980469,0.0,17000.980469
2016-03-22,16937.310547,17107.800781,16851.210938,17048.550781,132100.0,17048.550781
2016-03-18,16883.75,16920.910156,16613.689453,16724.810547,151000.0,16724.810547
2016-03-17,17107.599609,17253.029297,16814.839844,16936.380859,0.0,16936.380859
2016-03-16,16981.359375,17102.449219,16950.839844,16974.449219,122600.0,16974.449219
2016-03-15,17219.890625,17279.300781,17042.560547,17117.070312,0.0,17117.070312
2016-03-14,17155.519531,17291.349609,17149.210938,17233.75,0.0,17233.75
2016-03-11,16610.179688,17015.300781,16575.75,16938.869141,192100.0,16938.869141
2016-03-10,16811.0,16887.599609,16713.130859,16852.349609,131500.0,16852.349609
2016-03-09,16625.589844,16706.25,16494.800781,16642.199219,155900.0,16642.199219
2016-03-08,16889.480469,16909.789062,16570.220703,16783.150391,177300.0,16783.150391
2016-03-07,17024.640625,17026.25,16894.580078,16911.320312,0.0,16911.320312
