Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD1_High,RD_P1_High,RD_B1_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Open,RD_P3_Open,RD_B3_Open,RD3_High,RD_P3_High,RD_B3_High,RD3_Low,RD_P3_Low,RD_B3_Low,RD3_Close,RD_P3_Close,RD_B3_Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Open,RD_P5_Open,RD_B5_Open,RD5_High,RD_P5_High,RD_B5_High,RD5_Low,RD_P5_Low,RD_B5_Low,RD5_Close,RD_P5_Close,RD_B5_Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Open,RD_P30_Open,RD_B30_Open,RD30_High,RD_P30_High,RD_B30_High,RD30_Low,RD_P30_Low,RD_B30_Low,RD30_Close,RD_P30_Close,RD_B30_Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-07,3449.9,3476.5,3449.9,3475.7,232200.0,3475.7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-08,3475.7,3517.2,3475.4,3514.4,310200.0,3514.4,25.8,0.747847763703,1,40.7,1.17071767582,1,25.5,0.739151859474,1,38.7,1.11344477371,1,38.7,1.11344477371,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-09,3514.4,3528.0,3507.2,3521.1,236300.0,3521.1,38.7,1.11344477371,1,10.8,0.307062436029,1,31.8,0.91500258963,1,6.7,0.190644206692,1,6.7,0.190644206692,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-12,3521.1,3526.0,3515.0,3524.4,174400.0,3524.4,6.7,0.190644206692,1,-2.0,-0.0566893424036,0,7.8,0.222399635037,1,3.3,0.0937207122774,1,3.3,0.0937207122774,1,71.2,2.06382793704,1,49.5,1.42384582195,1,65.1,1.88701121772,1,48.7,1.40115660155,1,48.7,1.40115660155,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-13,3524.4,3533.3,3509.9,3515.4,228100.0,3515.4,3.3,0.0937207122774,1,7.3,0.207033465683,1,-5.1,-0.145092460882,0,-9.0,-0.255362614913,0,-9.0,-0.255362614913,0,48.7,1.40115660155,1,16.1,0.457750483339,1,34.5,0.992691488749,1,1.0,0.0284543592078,1,1.0,0.0284543592078,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-14,3515.4,3550.7,3515.2,3542.6,230400.0,3542.6,-9.0,-0.255362614913,0,17.4,0.492457476014,1,5.3,0.151001453033,1,27.2,0.773738408147,1,27.2,0.773738408147,1,1.0,0.0284543592078,1,22.7,0.643424036281,1,8.0,0.228102189781,1,21.5,0.610604640595,1,21.5,0.610604640595,1,65.5,1.89860575669,1,74.2,2.13433050482,1,65.3,1.8928084872,1,66.9,1.9247921282,1,66.9,1.9247921282,1,,,0,,,0,,,0,,,0,,,0
1993-07-15,3542.6,3550.9,3526.1,3550.9,228200.0,3550.9,27.2,0.773738408147,1,0.2,0.00563269214522,1,10.9,0.310081929904,1,8.3,0.234291198555,1,8.3,0.234291198555,1,21.5,0.610604640595,1,24.9,0.706182643222,1,11.1,0.315789473684,1,26.5,0.7519010328,1,26.5,0.7519010328,1,66.9,1.9247921282,1,33.7,0.958148527238,1,50.7,1.45882488347,1,36.5,1.03858411109,1,36.5,1.03858411109,1,,,0,,,0,,,0,,,0,,,0
1993-07-16,3550.9,3550.9,3525.2,3528.3,269900.0,3528.3,8.3,0.234291198555,1,0.0,0.0,0,-0.9,-0.0255239499731,0,-22.6,-0.636458362669,0,-22.6,-0.636458362669,0,26.5,0.7519010328,1,17.6,0.498117906773,1,15.3,0.435909854982,1,12.9,0.36695681857,1,12.9,0.36695681857,1,36.5,1.03858411109,1,22.9,0.649092970522,1,18.0,0.513229927007,1,7.2,0.20448155406,1,7.2,0.20448155406,1,,,0,,,0,,,0,,,0,,,0
1993-07-19,3528.3,3540.9,3524.7,3535.3,222400.0,3535.3,-22.6,-0.636458362669,0,-10.0,-0.281618744544,0,-0.5,-0.0141835924203,0,7.0,0.198395828019,1,7.0,0.198395828019,1,12.9,0.36695681857,1,-9.8,-0.276001915115,0,9.5,0.270254893036,1,-7.3,-0.206063343307,0,-7.3,-0.206063343307,0,7.2,0.20448155406,1,14.9,0.422575155984,1,9.7,0.275960170697,1,10.9,0.309272500284,1,10.9,0.309272500284,1,,,0,,,0,,,0,,,0,,,0
1993-07-20,3535.3,3549.0,3511.5,3544.8,301100.0,3544.8,7.0,0.198395828019,1,8.1,0.228755401169,1,-13.2,-0.374499957443,0,9.5,0.268718354878,1,9.5,0.268718354878,1,-7.3,-0.206063343307,0,-1.9,-0.0535075614633,0,-14.6,-0.414055188452,0,-6.1,-0.171787434172,0,-6.1,-0.171787434172,0,10.9,0.309272500284,1,15.7,0.444343814564,1,1.6,0.0455853443118,1,29.4,0.836320191159,1,29.4,0.836320191159,1,,,0,,,0,,,0,,,0,,,0
