Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD3_Open,RD_P3_Open,RD_B3_Open,RD5_Open,RD_P5_Open,RD_B5_Open,RD30_Open,RD_P30_Open,RD_B30_Open,RD1_High,RD_P1_High,RD_B1_High,RD3_High,RD_P3_High,RD_B3_High,RD5_High,RD_P5_High,RD_B5_High,RD30_High,RD_P30_High,RD_B30_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD3_Low,RD_P3_Low,RD_B3_Low,RD5_Low,RD_P5_Low,RD_B5_Low,RD30_Low,RD_P30_Low,RD_B30_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD3_Close,RD_P3_Close,RD_B3_Close,RD5_Close,RD_P5_Close,RD_B5_Close,RD30_Close,RD_P30_Close,RD_B30_Close,RD1_Volume,RD_P1_Volume,RD_B1_Volume,RD3_Volume,RD_P3_Volume,RD_B3_Volume,RD5_Volume,RD_P5_Volume,RD_B5_Volume,RD30_Volume,RD_P30_Volume,RD_B30_Volume,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-21,2832.300049,2832.300049,2819.0,2830.5,0.0,2830.5,2.800049,0.0989591447252,1,-11.399902,-0.40088273012,0,-13.099853,-0.460387061615,0,,,0,-8.199951,-0.288679845098,0,-15.699951,-0.551262324438,0,-26.099853,-0.913093125344,0,,,0,-10.5,-0.371090298639,0,0.199951,0.00709347937151,1,-26.399902,-0.927809900515,0,,,0,-9.5,-0.334507042254,0,0.0,0.0,0,-20.600098,-0.722531559465,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-9.5,-0.334507042254,0,0.0,0.0,0,-20.600098,-0.722531559465,0,,,0
1993-07-22,2830.5,2849.899902,2814.100098,2838.899902,0.0,2838.899902,-1.800049,-0.0635543187112,0,5.300049,0.187599075886,1,-18.199951,-0.638886204692,0,,,0,17.599853,0.621397899075,1,24.699951,0.874272668427,1,1.199951,0.0421227584737,1,,,0,-4.899902,-0.173817027315,0,-3.299804,-0.117122315425,0,-20.899902,-0.73720994709,0,,,0,8.399902,0.296763893305,1,16.699951,0.59173521685,1,-4.800049,-0.168795902617,0,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,8.399902,0.296763893305,1,16.699951,0.59173521685,1,-4.800049,-0.168795902617,0,,,0
1993-07-23,2844.699951,2866.0,2844.699951,2855.899902,0.0,2855.899902,14.199951,0.501676417594,1,15.199951,0.537195652942,1,1.0,0.0351654540645,1,,,0,16.100098,0.564935561024,1,25.5,0.897729273015,1,18.0,0.63202247191,1,,,0,30.599853,1.08737613924,1,15.199951,0.537195652942,1,25.899902,0.918827215474,1,,,0,17.0,0.598823508642,1,15.899902,0.559855704225,1,25.399902,0.897364493906,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,17.0,0.598823508642,1,15.899902,0.559855704225,1,25.399902,0.897364493906,1,,,0
1993-07-26,2861.399902,2877.100098,2861.399902,2873.0,0.0,2873.0,16.699951,0.587054919241,1,29.099853,1.02742832668,1,36.199951,1.28132350375,1,,,0,11.100098,0.387302791347,1,44.800049,1.58175504802,1,51.900147,1.83704332083,1,,,0,16.699951,0.587054919241,1,42.399902,1.50407598439,1,44.0,1.56172362925,1,,,0,17.100098,0.59876391284,1,42.5,1.5015015015,1,50.800049,1.80001594083,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,17.100098,0.59876391284,1,42.5,1.5015015015,1,50.800049,1.80001594083,1,,,0
1993-07-27,2873.0,2878.100098,2857.800049,2876.600098,0.0,2876.600098,11.600098,0.405399398801,1,42.5,1.5015015015,1,43.5,1.53737409436,1,,,0,1.0,0.0347572196287,1,28.200196,0.989515315265,1,37.600098,1.32371406443,1,,,0,-3.599853,-0.12580740628,0,43.699951,1.55289255812,1,28.300049,1.00017844142,1,,,0,3.600098,0.125307970762,1,37.700196,1.32798609678,1,36.600098,1.28873584507,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,3.600098,0.125307970762,1,37.700196,1.32798609678,1,36.600098,1.28873584507,1,,,0
1993-07-28,2896.300049,2913.800049,2896.300049,2901.899902,0.0,2901.899902,23.300049,0.81100066133,1,51.600098,1.81390300871,1,64.0,2.2596475971,1,,,0,35.699951,1.24039990912,1,47.800049,1.66783143754,1,81.5,2.87751998694,1,,,0,38.5,1.34719012317,1,51.600098,1.81390300871,1,77.300049,2.74210886839,1,,,0,25.299804,0.879503689706,1,46.0,1.61070071006,1,71.399902,2.52251906024,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,25.299804,0.879503689706,1,46.0,1.61070071006,1,71.399902,2.52251906024,1,,,0
1993-07-29,2901.899902,2963.800049,2892.399902,2963.199951,0.0,2963.199951,5.599853,0.193345057669,1,40.5,1.41539111579,1,71.399902,2.52251906024,1,,,0,50.0,1.71597224103,1,86.699951,3.01344923871,1,113.900147,3.99663675626,1,,,0,-3.900147,-0.134659632428,0,31.0,1.08338579233,1,78.299804,2.782410052,1,,,0,61.300049,2.11241087116,1,90.199951,3.13957365124,1,124.300049,4.37845832156,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,61.300049,2.11241087116,1,90.199951,3.13957365124,1,124.300049,4.37845832156,1,,,0
1993-07-30,2973.699951,3044.5,2973.699951,2981.199951,0.0,2981.199951,71.800049,2.47424278661,1,100.699951,3.50504528368,1,129.0,4.53474890927,1,,,0,80.699951,2.72285409494,1,166.399902,5.78158842063,1,178.5,6.22819260293,1,,,0,81.300049,2.8108163378,1,115.899902,4.05556372079,1,129.0,4.53474890927,1,,,0,18.0,0.607451413933,1,104.599853,3.63623199042,1,125.300049,4.38741038901,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,18.0,0.607451413933,1,104.599853,3.63623199042,1,125.300049,4.38741038901,1,,,0
1993-08-02,2999.399902,3033.100098,2999.399902,3019.699951,0.0,3019.699951,25.699951,0.864241565171,1,103.099853,3.55970898235,1,138.0,4.82281417231,1,,,0,-11.399902,-0.374442502874,0,119.300049,4.09431144875,1,156.0,5.42212626208,1,,,0,25.699951,0.864241565171,1,103.099853,3.55970898235,1,138.0,4.82281417231,1,,,0,38.5,1.29142629253,1,117.800049,4.05941117813,1,146.699951,5.10615910198,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,38.5,1.29142629253,1,117.800049,4.05941117813,1,146.699951,5.10615910198,1,,,0
1993-08-03,3016.300049,3016.300049,2983.300049,2994.0,0.0,2994.0,16.900147,0.563450941928,1,114.400147,3.94224993499,1,143.300049,4.98781931779,1,,,0,-16.800049,-0.553890358286,0,52.5,1.77137455739,1,138.199951,4.80177708538,1,,,0,-16.099853,-0.536769138029,0,90.900147,3.14272403816,1,125.5,4.39148988201,1,,,0,-25.699951,-0.85107631278,0,30.800049,1.03941851746,1,117.399902,4.08120343462,1,,,0,0.0,,0,0.0,,0,0.0,,0,,,0,-25.699951,-0.85107631278,0,30.800049,1.03941851746,1,117.399902,4.08120343462,1,,,0
