Date,Open,High,Low,Close,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD1_High,RD_P1_High,RD_B1_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Open,RD_P3_Open,RD_B3_Open,RD3_High,RD_P3_High,RD_B3_High,RD3_Low,RD_P3_Low,RD_B3_Low,RD3_Close,RD_P3_Close,RD_B3_Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Open,RD_P5_Open,RD_B5_Open,RD5_High,RD_P5_High,RD_B5_High,RD5_Low,RD_P5_Low,RD_B5_Low,RD5_Close,RD_P5_Close,RD_B5_Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Open,RD_P30_Open,RD_B30_Open,RD30_High,RD_P30_High,RD_B30_High,RD30_Low,RD_P30_Low,RD_B30_Low,RD30_Close,RD_P30_Close,RD_B30_Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-07,19829.0,19829.0,19634.0,19721.0,19721.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-08,19723.0,19785.0,19676.0,19689.0,19689.0,-106.0,-0.534570578446,0,-44.0,-0.221897221242,0,42.0,0.213914637873,1,-32.0,-0.162263576898,0,-32.0,-0.162263576898,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-09,19700.0,19947.0,19700.0,19877.0,19877.0,-23.0,-0.116615119404,0,162.0,0.81880212282,1,24.0,0.121976011384,1,188.0,0.954847884606,1,188.0,0.954847884606,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-12,19935.0,20012.0,19890.0,19980.0,19980.0,235.0,1.19289340102,1,65.0,0.325863538377,1,190.0,0.964467005076,1,103.0,0.518186849122,1,103.0,0.518186849122,1,106.0,0.534570578446,1,183.0,0.922890715619,1,256.0,1.30386064989,1,259.0,1.31332082552,1,259.0,1.31332082552,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-13,19984.0,20243.0,19968.0,20180.0,20180.0,49.0,0.24579884625,1,231.0,1.15430741555,1,78.0,0.392156862745,1,200.0,1.001001001,1,200.0,1.001001001,1,261.0,1.3233280941,1,458.0,2.3148850139,1,292.0,1.48404147184,1,491.0,2.49377825182,1,491.0,2.49377825182,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-14,20208.0,20233.0,20030.0,20139.0,20139.0,224.0,1.12089671737,1,-10.0,-0.0493997925209,0,62.0,0.310496794872,1,-41.0,-0.203171456888,0,-41.0,-0.203171456888,0,508.0,2.57868020305,1,286.0,1.43379956886,1,330.0,1.67512690355,1,262.0,1.31810635408,1,262.0,1.31810635408,1,379.0,1.91134197388,1,404.0,2.03741994049,1,396.0,2.0169094428,1,418.0,2.11956797323,1,418.0,2.11956797323,1,,,0,,,0,,,0,,,0,,,0
1993-07-15,20192.0,20395.0,20144.0,20158.0,20158.0,-16.0,-0.0791765637371,0,162.0,0.800672169228,1,114.0,0.569146280579,1,19.0,0.0943443070659,1,19.0,0.0943443070659,1,257.0,1.28918986707,1,383.0,1.91385168899,1,254.0,1.27702362996,1,178.0,0.890890890891,1,178.0,0.890890890891,1,469.0,2.37793439132,1,610.0,3.0831437958,1,468.0,2.378532222,1,469.0,2.3820407334,1,469.0,2.3820407334,1,,,0,,,0,,,0,,,0,,,0
1993-07-16,20165.0,20353.0,20106.0,20332.0,20332.0,-27.0,-0.133716323296,0,-42.0,-0.205932826673,0,-38.0,-0.18864177919,0,174.0,0.863180871118,1,174.0,0.863180871118,1,181.0,0.905724579664,1,110.0,0.54339771773,1,138.0,0.691105769231,1,152.0,0.753221010902,1,152.0,0.753221010902,1,465.0,2.36040609137,1,406.0,2.03539379355,1,406.0,2.06091370558,1,455.0,2.28907782865,1,455.0,2.28907782865,1,,,0,,,0,,,0,,,0,,,0
1993-07-19,20347.0,20350.0,20090.0,20151.0,20151.0,182.0,0.902553930077,1,-3.0,-0.0147398417924,0,-16.0,-0.0795782353526,0,-181.0,-0.89022230966,0,-181.0,-0.89022230966,0,139.0,0.687846397466,1,117.0,0.578263233332,1,60.0,0.299550673989,1,12.0,0.0595858781469,1,12.0,0.0595858781469,1,412.0,2.0667168297,1,338.0,1.68898660804,1,200.0,1.0055304173,1,171.0,0.855855855856,1,171.0,0.855855855856,1,,,0,,,0,,,0,,,0,,,0
1993-07-20,20123.0,20123.0,19977.0,20038.0,20038.0,-224.0,-1.10089939549,0,-227.0,-1.11547911548,0,-113.0,-0.562468889995,0,-113.0,-0.560766215076,0,-113.0,-0.560766215076,0,-69.0,-0.341719492868,0,-272.0,-1.33366021084,0,-167.0,-0.829030976966,0,-120.0,-0.595297152495,0,-120.0,-0.595297152495,0,139.0,0.695556445156,1,-120.0,-0.59279751025,0,9.0,0.0450721153846,1,-142.0,-0.703666997027,0,-142.0,-0.703666997027,0,,,0,,,0,,,0,,,0,,,0
