Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD1_High,RD_P1_High,RD_B1_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Open,RD_P3_Open,RD_B3_Open,RD3_High,RD_P3_High,RD_B3_High,RD3_Low,RD_P3_Low,RD_B3_Low,RD3_Close,RD_P3_Close,RD_B3_Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Open,RD_P5_Open,RD_B5_Open,RD5_High,RD_P5_High,RD_B5_High,RD5_Low,RD_P5_Low,RD_B5_Low,RD5_Close,RD_P5_Close,RD_B5_Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Open,RD_P30_Open,RD_B30_Open,RD30_High,RD_P30_High,RD_B30_High,RD30_Low,RD_P30_Low,RD_B30_Low,RD30_Close,RD_P30_Close,RD_B30_Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-22,447.179993,447.230011,443.720001,444.51001,249630000.0,444.51001,-0.100006,-0.0223587015345,0,-0.269989,-0.0603327374302,0,-2.119995,-0.475505791096,0,-2.669983,-0.5970712111,0,-2.669983,-0.5970712111,0,1.429993,0.320806057207,1,0.450012,0.100723398766,1,-1.109986,-0.249530389686,0,-1.519989,-0.340781786743,0,-1.519989,-0.340781786743,0,-2.910003,-0.646538031474,0,-2.889984,-0.642047461144,0,-3.540009,-0.791487931148,0,-4.709991,-1.04848203319,0,-4.709991,-1.04848203319,0,,,0,,,0,,,0,,,0,,,0
1993-07-23,444.540009,447.100006,444.540009,447.100006,222170000.0,447.100006,-2.639984,-0.590362726715,0,-0.130005,-0.0290689347321,0,0.820008,0.184803028521,1,2.589996,0.582663144076,1,2.589996,0.582663144076,1,-1.48999,-0.33405600595,0,-0.529999,-0.118401133543,0,0.830018,0.187063175686,1,-0.209992,-0.0469455189777,0,-0.209992,-0.0469455189777,0,-4.529998,-1.00875095851,0,-1.979981,-0.440897180306,0,-1.119995,-0.251311535688,0,1.350006,0.302861693775,1,1.350006,0.302861693775,1,,,0,,,0,,,0,,,0,,,0
1993-07-26,447.059998,449.5,447.040009,449.089996,222580000.0,449.089996,2.519989,0.566875635259,1,2.399994,0.536791314648,1,2.5,0.56237907711,1,1.98999,0.445088341153,1,1.98999,0.445088341153,1,-0.220001,-0.049186415778,0,2.0,0.446927374302,1,1.200013,0.269157772018,1,1.910003,0.427121747372,1,1.910003,0.427121747372,1,1.309998,0.293886259114,1,2.720001,0.608800977234,1,2.210022,0.496823969738,1,3.059997,0.686051836616,1,3.059997,0.686051836616,1,,,0,,,0,,,0,,,0,,,0
1993-07-27,449.0,449.440002,446.76001,448.23999,256750000.0,448.23999,1.940002,0.433946675766,1,-0.0599980000001,-0.0133477196886,0,-0.279999,-0.0626339912229,0,-0.850006,-0.189272975923,0,-0.850006,-0.189272975923,0,1.820007,0.406996517843,1,2.209991,0.494150872178,1,3.040009,0.685118767049,1,3.72998,0.839121710667,1,3.72998,0.839121710667,1,2.970001,0.66587471844,1,1.809997,0.4043511337,1,3.050019,0.687390201227,1,0.929992,0.207907715937,1,0.929992,0.207907715937,1,,,0,,,0,,,0,,,0,,,0
1993-07-28,448.25,448.609985,446.589996,447.190002,273100000.0,447.190002,-0.75,-0.167037861915,0,-0.830017,-0.184678042966,0,-0.170014,-0.0380548832023,0,-1.049988,-0.23424683728,0,-1.049988,-0.23424683728,0,3.709991,0.834568525867,1,1.509979,0.337727349527,1,2.049987,0.461147918859,1,0.089996,0.0201288299692,1,0.089996,0.0201288299692,1,0.970001,0.216866616475,1,1.109985,0.248041340782,1,0.75,0.168221785109,1,0.010009,0.00223824861502,1,0.010009,0.00223824861502,1,,,0,,,0,,,0,,,0,,,0
1993-07-29,447.190002,450.769989,447.190002,450.23999,261240000.0,450.23999,-1.059998,-0.236474735081,0,2.160004,0.481488168392,1,0.600006,0.134352763245,1,3.049988,0.6820340317,1,3.049988,0.6820340317,1,0.130004,0.0290797657096,1,1.269989,0.282533704116,1,0.149993,0.0335524778499,1,1.149994,0.256072059107,1,1.149994,0.256072059107,1,0.010009,0.00223824861502,1,3.539978,0.791534090497,1,3.470001,0.782024923866,1,5.72998,1.28905533533,1,5.72998,1.28905533533,1,,,0,,,0,,,0,,,0,,,0
1993-07-30,450.190002,450.220001,446.980011,448.130005,254420000.0,448.130005,3.0,0.670855785367,1,-0.549988,-0.122010784529,0,-0.209991,-0.0469578924083,0,-2.109985,-0.468635626969,0,-2.109985,-0.468635626969,0,1.190002,0.265033853007,1,0.779999,0.173549082531,1,0.220001,0.0492436644005,1,-0.109985,-0.0245370788983,0,-0.109985,-0.0245370788983,0,5.649993,1.27097513961,1,3.119995,0.697829335301,1,2.440002,0.548882429163,1,1.029999,0.230373291473,1,1.029999,0.230373291473,1,,,0,,,0,,,0,,,0,,,0
1993-08-02,448.130005,450.149994,448.029999,450.149994,230380000.0,450.149994,-2.059997,-0.457583906983,0,-0.0700069999999,-0.0155495090943,0,1.049988,0.234907148902,1,2.019989,0.450759595979,1,2.019989,0.450759595979,1,-0.119995,-0.0267696597881,0,1.540009,0.343284601657,1,1.440003,0.32244407911,1,2.959992,0.661909252613,1,2.959992,0.661909252613,1,1.070007,0.239343042273,1,0.649994,0.14460378198,1,0.98999,0.221454451519,1,1.059998,0.236032423221,1,1.059998,0.236032423221,1,,,0,,,0,,,0,,,0,,,0
1993-08-03,450.149994,450.429993,447.589996,449.269989,253110000.0,449.269989,2.019989,0.450759595979,1,0.279999,0.0622012670736,1,-0.440003,-0.0982083791224,0,-0.880005,-0.195491505438,0,-0.880005,-0.195491505438,0,2.959992,0.661909252613,1,-0.339996,-0.0754256069163,0,0.399994,0.0894460963374,1,-0.970001,-0.215440880762,0,-0.970001,-0.215440880762,0,1.149994,0.256123385301,1,0.989991,0.220272115431,1,0.829986,0.185778937555,1,1.029999,0.22978739581,1,1.029999,0.22978739581,1,,,0,,,0,,,0,,,0,,,0
1993-08-04,449.269989,449.720001,447.929993,448.540009,230040000.0,448.540009,-0.880005,-0.195491505438,0,-0.709992,-0.157625382642,0,0.339997,0.0759617067045,1,-0.72998,-0.162481362627,0,-0.72998,-0.162481362627,0,-0.920013,-0.20436104665,0,-0.5,-0.111056816421,0,0.949982,0.212533441456,1,0.410004,0.091492199903,1,0.410004,0.091492199903,1,1.019989,0.227549135527,1,1.110016,0.247434528235,1,1.339997,0.300050832307,1,1.350007,0.301886668745,1,1.350007,0.301886668745,1,,,0,,,0,,,0,,,0,,,0
1993-08-05,448.549988,449.609985,446.940002,448.130005,261900000.0,448.130005,-0.720001,-0.160260203804,0,-0.110016,-0.0244632215057,0,-0.989991,-0.221014670924,0,-0.410004,-0.0914085681931,0,-0.410004,-0.0914085681931,0,0.419983,0.093719009063,1,-0.540009,-0.119962014261,0,-1.089997,-0.243286610815,0,-2.019989,-0.44873687147,0,-2.019989,-0.44873687147,0,1.359986,0.304118158706,1,-1.160004,-0.257338338467,0,-0.25,-0.0559046487806,0,-2.109985,-0.468635626969,0,-2.109985,-0.468635626969,0,,,0,,,0,,,0,,,0,,,0
1993-08-06,448.130005,449.26001,447.869995,448.679993,221170000.0,448.679993,-0.419983,-0.0936312587751,0,-0.349975,-0.077839685878,0,0.929993,0.208080054557,1,0.549988,0.122729563712,1,0.549988,0.122729563712,1,-2.019989,-0.44873687147,0,-1.169983,-0.259748022597,0,0.279999,0.062557028196,1,-0.589996,-0.131323260945,0,-0.589996,-0.131323260945,0,-2.059997,-0.457583906983,0,-0.959991,-0.213227088505,0,0.889984,0.199110469842,1,0.549988,0.122729563712,1,0.549988,0.122729563712,1,,,0,,,0,,,0,,,0,,,0
1993-08-09,448.679993,451.51001,448.309998,450.720001,232750000.0,450.720001,0.549988,0.122729563712,1,2.25,0.5008235654,1,0.440003,0.0982434646018,1,2.040008,0.45466881337,1,2.040008,0.45466881337,1,-0.589996,-0.131323260945,0,1.790009,0.398027438411,1,0.380005,0.0848358015624,1,2.179992,0.486019520279,1,2.179992,0.486019520279,1,0.549988,0.122729563712,1,1.360016,0.302125073448,1,0.279999,0.0624955919525,1,0.570007,0.126626015239,1,0.570007,0.126626015239,1,,,0,,,0,,,0,,,0,,,0
1993-08-10,450.709991,450.709991,449.100006,449.450012,255520000.0,449.450012,2.029998,0.452437824657,1,-0.800019,-0.177187433785,0,0.790008,0.176219134867,1,-1.269989,-0.281768946837,0,-1.269989,-0.281768946837,0,2.160003,0.481552348186,1,1.100006,0.244657822713,1,2.160004,0.483287239973,1,1.320007,0.294558941662,1,1.320007,0.294558941662,1,0.559997,0.124402311999,1,0.279998,0.062162379138,1,1.51001,0.337364555395,1,0.180023,0.0400701147212,1,0.180023,0.0400701147212,1,,,0,,,0,,,0,,,0,,,0
1993-08-11,449.600006,451.0,449.600006,450.459991,268330000.0,450.459991,-1.109985,-0.246274771397,0,0.290009,0.0643449237406,1,0.5,0.111333777181,1,1.009979,0.224714422747,1,1.009979,0.224714422747,1,1.470001,0.328030032267,1,1.73999,0.38730133136,1,1.730011,0.386275262758,1,1.779998,0.396718825838,1,1.779998,0.396718825838,1,0.330017,0.0734562753089,1,1.279999,0.2846213193,1,1.670013,0.372829019288,1,1.919982,0.428051447246,1,1.919982,0.428051447246,1,,,0,,,0,,,0,,,0,,,0
1993-08-12,450.470001,451.630005,447.529999,448.959991,278530000.0,448.959991,0.869995,0.193504223396,1,0.630005,0.139690687361,1,-2.070007,-0.460410803464,0,-1.5,-0.332992947203,0,-1.5,-0.332992947203,0,1.790008,0.398949814551,1,0.119995,0.0265763764573,1,-0.779999,-0.173986527956,0,-1.76001,-0.390488550784,0,-1.76001,-0.390488550784,0,1.920013,0.42804883544,1,2.02002,0.449282726673,1,0.589997,0.13200809893,1,0.829986,0.185210985816,1,0.829986,0.185210985816,1,,,0,,,0,,,0,,,0,,,0
