Date,Value
9/1/1950,2019500
10/1/1950,2247600
11/1/1950,2146000
12/1/1950,2935500
1/1/1951,3080000
2/1/1951,2161100
3/1/1951,1599000
4/1/1951,1597100
5/1/1951,1699500
6/1/1951,1807100
7/1/1951,1406600
8/1/1951,1528600
9/1/1951,1990000
10/1/1951,1851800
11/1/1951,1321500
12/1/1951,1450000
1/1/1952,1651300
2/1/1952,1377800
3/1/1952,1345700
4/1/1952,1336100
5/1/1952,1121400
6/1/1952,1281400
7/1/1952,1151300
8/1/1952,1037100
9/1/1952,1200900
10/1/1952,1259000
11/1/1952,1904100
12/1/1952,1933100
1/1/1953,1705700
2/1/1953,1786600
3/1/1953,2074000
4/1/1953,1690900
5/1/1953,1269000
6/1/1953,1222700
7/1/1953,1024300
8/1/1953,1241900
9/1/1953,1337600
10/1/1953,1290900
11/1/1953,1588800
12/1/1953,1756300
1/1/1954,1768500
2/1/1954,1851000
3/1/1954,2032100
4/1/1954,2188000
5/1/1954,2192000
6/1/1954,2008100
7/1/1954,2601900
8/1/1954,2706300
9/1/1954,2050400
10/1/1954,2193800
11/1/1954,3322500
12/1/1954,3650900
1/1/1955,3721400
2/1/1955,3338400
3/1/1955,2976500
4/1/1955,2801000
5/1/1955,2259000
6/1/1955,2749500
7/1/1955,2527000
8/1/1955,1897800
9/1/1955,2962800
10/1/1955,2092800
11/1/1955,2463000
12/1/1955,2562300
1/1/1956,2336100
2/1/1956,2513500
3/1/1956,3037600
4/1/1956,2706100
5/1/1956,2510400
6/1/1956,1855200
7/1/1956,2293800
8/1/1956,2003000
9/1/1956,2049400
10/1/1956,1851300
11/1/1956,2292500
12/1/1956,2632100
1/1/1957,2275400
2/1/1957,2060500
3/1/1957,1774700
4/1/1957,2404200
5/1/1957,2482200
6/1/1957,2262000
7/1/1957,2275400
8/1/1957,1954000
9/1/1957,1920500
10/1/1957,2875200
11/1/1957,2681000
12/1/1957,2833800
1/1/1958,2357200
2/1/1958,2088500
3/1/1958,2320400
4/1/1958,2531900
5/1/1958,2688000
6/1/1958,2830000
7/1/1958,3357700
8/1/1958,3074200
9/1/1958,3623800
10/1/1958,4301700
11/1/1958,4359400
12/1/1958,3805200
1/1/1959,4135200
2/1/1959,3688900
3/1/1959,4059500
4/1/1959,3606800
5/1/1959,3511400
6/1/1959,3068600
7/1/1959,3325900
8/1/1959,2532800
9/1/1959,2873800
10/1/1959,2949500
11/1/1959,3587800
12/1/1959,3455400
1/1/1960,3349000
2/1/1960,3174500
3/1/1960,2973900
4/1/1960,3007500
5/1/1960,3454200
6/1/1960,3610000
7/1/1960,2829500
8/1/1960,2976500
9/1/1960,3057600
10/1/1960,2706100
11/1/1960,3254500
12/1/1960,3934700
1/1/1961,4461900
2/1/1961,5187300
3/1/1961,5484500
4/1/1961,5273500
5/1/1961,4821900
6/1/1961,3430400
7/1/1961,3200500
8/1/1961,3670000
9/1/1961,3344000
10/1/1961,3469500
11/1/1961,4599000
12/1/1961,4387500
1/1/1962,3846800
2/1/1962,3640000
3/1/1962,3245000
4/1/1962,3469500
5/1/1962,5533600
6/1/1962,4994200
7/1/1962,3730900
8/1/1962,3618600
9/1/1962,3460000
10/1/1962,3555600
11/1/1962,5029500
12/1/1962,4314500
1/1/1963,4829000
2/1/1963,4379400
3/1/1963,3721400
4/1/1963,5284200
5/1/1963,4988600
6/1/1963,4680000
7/1/1963,3648600
8/1/1963,4373100
9/1/1963,5517500
10/1/1963,5538600
11/1/1963,5488800
12/1/1963,5018500
1/1/1964,5482700
2/1/1964,4899400
3/1/1964,5668000
4/1/1964,5871800
5/1/1964,5185500
6/1/1964,4568600
7/1/1964,4855000
8/1/1964,4077100
9/1/1964,5451900
10/1/1964,5030400
11/1/1964,5185700
12/1/1964,5021800
1/1/1965,5803500
2/1/1965,6214700
3/1/1965,5621700
4/1/1965,5919500
5/1/1965,5723000
6/1/1965,6140400
7/1/1965,4302300
8/1/1965,5192700
9/1/1965,7802300
10/1/1965,8158500
11/1/1965,7805000
12/1/1965,9013100
1/1/1966,9081400
2/1/1966,9247300
3/1/1966,8610800
4/1/1966,9669000
5/1/1966,8431400
6/1/1966,6713600
7/1/1966,6248000
8/1/1966,7440000
9/1/1966,6009500
10/1/1966,7241400
11/1/1966,7650500
12/1/1966,8400000
1/1/1967,10426100
2/1/1967,10153600
3/1/1967,10580400
4/1/1967,9942500
5/1/1967,10331300
6/1/1967,10020000
7/1/1967,11353000
8/1/1967,9419100
9/1/1967,10733500
10/1/1967,10763600
11/1/1967,11014500
12/1/1967,12220500
1/1/1968,12371800
2/1/1968,9583100
3/1/1968,9600400
4/1/1968,15490000
5/1/1968,13866800
6/1/1968,15842900
7/1/1968,14864700
8/1/1968,11231100
9/1/1968,14230000
10/1/1968,16102700
11/1/1968,15661100
12/1/1968,15589400
1/1/1969,12664500
2/1/1969,12026600
3/1/1969,10577000
4/1/1969,12203800
5/1/1969,12778500
6/1/1969,11608000
7/1/1969,11543300
8/1/1969,10025200
9/1/1969,10872800
10/1/1969,14052600
11/1/1969,11692100
12/1/1969,13260400
1/1/1970,11114700
2/1/1970,12698400
3/1/1970,10535700
4/1/1970,10590900
5/1/1970,12992800
6/1/1970,10713600
7/1/1970,10880900
8/1/1970,10925200
9/1/1970,15148500
10/1/1970,12358600
11/1/1970,12399500
12/1/1970,15846800
1/1/1971,18472500
2/1/1971,20444200
3/1/1971,17716900
4/1/1971,19955700
5/1/1971,15956000
6/1/1971,14500000
7/1/1971,13248000
8/1/1971,15043100
9/1/1971,12676600
10/1/1971,13894700
11/1/1971,14034700
12/1/1971,17805400
1/1/1972,18940000
2/1/1972,19829000
3/1/1972,19000400
4/1/1972,19107500
5/1/1972,15958100
6/1/1972,14880400
7/1/1972,15001000
8/1/1972,16055200
9/1/1972,13122000
10/1/1972,15125000
11/1/1972,21245500
12/1/1972,19593600
1/1/1973,19458000
2/1/1973,17691500
3/1/1973,16233600
4/1/1973,14640500
5/1/1973,15884000
6/1/1973,13308000
7/1/1973,15300400
8/1/1973,12390800
9/1/1973,18177300
10/1/1973,19164700
11/1/1973,19775200
12/1/1973,20392500
1/1/1974,17144000
2/1/1974,14236300
3/1/1974,15321400
4/1/1974,12630900
5/1/1974,12998100
6/1/1974,12867500
7/1/1974,12956800
8/1/1974,13469500
9/1/1974,14752500
10/1/1974,17214700
11/1/1974,14709500
12/1/1974,16005700
1/1/1975,20781300
2/1/1975,23221000
3/1/1975,23494000
4/1/1975,21336800
5/1/1975,22864700
6/1/1975,22210900
7/1/1975,20737200
8/1/1975,14140400
9/1/1975,13697100
10/1/1975,16454300
11/1/1975,17456800
12/1/1975,16633600
1/1/1976,32111400
2/1/1976,32793100
3/1/1976,23787800
4/1/1976,19370900
5/1/1976,18638500
6/1/1976,20048100
7/1/1976,19456600
8/1/1976,16461800
9/1/1976,20450000
10/1/1976,18020000
11/1/1976,19902500
12/1/1976,25169000
1/1/1977,24978000
2/1/1977,21824200
3/1/1977,19617300
4/1/1977,21069500
5/1/1977,21124700
6/1/1977,22934500
7/1/1977,24885700
8/1/1977,19683900
9/1/1977,19278000
10/1/1977,20501900
11/1/1977,24635700
12/1/1977,22596600
1/1/1978,21333800
2/1/1978,20439400
3/1/1978,23532200
4/1/1978,36422500
5/1/1978,36582700
6/1/1978,31108600
7/1/1978,28774000
8/1/1978,39078200
9/1/1978,34795000
10/1/1978,32957200
11/1/1978,25452800
12/1/1978,26123500
1/1/1979,29366300
2/1/1979,26357800
3/1/1979,30898600
4/1/1979,32354500
5/1/1979,29729000
6/1/1979,36685700
7/1/1979,34052300
8/1/1979,37018200
9/1/1979,39467800
10/1/1979,38509100
11/1/1979,32577600
12/1/1979,37087000
1/1/1980,55642700
2/1/1980,49767000
3/1/1980,43442300
4/1/1980,33570900
5/1/1980,38082800
6/1/1980,40931900
7/1/1980,48926300
8/1/1980,47579500
9/1/1980,52285700
10/1/1980,46604300
11/1/1980,56797200
12/1/1980,48493600
1/1/1981,47460900
2/1/1981,45764200
3/1/1981,55705000
4/1/1981,55782800
5/1/1981,47850500
6/1/1981,51932700
7/1/1981,45338600
8/1/1981,45757600
9/1/1981,47611400
10/1/1981,48051300
11/1/1981,51775000
12/1/1981,45465900
1/1/1982,52087000
2/1/1982,53475200
3/1/1982,57043000
4/1/1982,56413800
5/1/1982,53518000
6/1/1982,53445900
7/1/1982,56402800
8/1/1982,79960400
9/1/1982,76697600
10/1/1982,102066100
11/1/1982,92881400
12/1/1982,78372200
1/1/1983,91654200
2/1/1983,89431500
3/1/1983,87064700
4/1/1983,94631000
5/1/1983,96525700
6/1/1983,93189500
7/1/1983,84270500
8/1/1983,77705600
9/1/1983,86222300
10/1/1983,89241900
11/1/1983,92130400
12/1/1983,91461900
1/1/1984,110912800
2/1/1984,101281000
3/1/1984,87568600
4/1/1984,89513500
5/1/1984,91883600
6/1/1984,90649500
7/1/1984,83290900
8/1/1984,112364300
9/1/1984,97242600
10/1/1984,95744300
11/1/1984,87374200
12/1/1984,93063000
1/1/1985,127555000
2/1/1985,120806300
3/1/1985,107356600
4/1/1985,99699000
5/1/1985,112929000
6/1/1985,111110000
7/1/1985,117603100
8/1/1985,91128100
9/1/1985,103355700
10/1/1985,115858200
11/1/1985,126471500
12/1/1985,138908500
1/1/1986,137386800
2/1/1986,162673600
3/1/1986,167450000
4/1/1986,153995400
5/1/1986,134830400
6/1/1986,132604700
